地域階層,地域コード,地域,令和7年1月1日現在人口,令和６年中の動き／人口増減,令和６年中の動き／社会増減（他県との移動増減）,令和６年中の動き／社会増減（他県との移動増減）／転入数,令和６年中の動き／社会増減（他県との移動増減）／転出数,令和６年中の動き／都内間の移動増減,令和６年中の動き／都内間の移動増減／転入数,令和６年中の動き／都内間の移動増減／転出数,令和６年中の動き／自然増減,令和６年中の動き／自然増減／出生数,令和６年中の動き／自然増減／死亡数,令和６年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,令和６年1月1日現在人口
4,13364,神津島村,1704,-38,-6,34,40,-10,60,70,-26,7,33,4,-40,18.58,92 ,1742
3,13380,三宅支庁,2408,-32,24,104,80,-30,110,140,-34,11,45,8,-44,75.65,32 ,2440
4,13381,三宅村,2096,-43,22,85,63,-36,87,123,-36,9,45,7,-54,55.26,38 ,2139
4,13382,御蔵島村,312,11,2,19,17,6,23,17,2,2,0,1,10,20.39,15 ,301
3,13400,八丈支庁,6796,-126,-22,184,206,-16,212,228,-108,43,151,20,-135,83,82 ,6922
4,13401,八丈町,6630,-130,-27,168,195,-18,191,209,-105,43,148,20,-139,72.24,92 ,6760
4,13402,青ヶ島村,166,4,5,16,11,2,21,19,-3,0,3,0,4,5.95,28 ,162
3,13420,小笠原支庁,2827,-104,-65,146,211,-55,99,154,6,25,19,10,-115,113.04,25 ,2931
4,13421,小笠原村,2827,-104,-65,146,211,-55,99,154,6,25,19,10,-115,113.04,25 ,2931
,,,,,,,,,,,,,,,,,,
人口の動き（令和6年中）,,,,,,,,,,,,,,,,,,
第１表  区市町村、変動要因別人口（総数）,,,,,,,,,,,,,,,,,,
注１)  面積は総務局行政部長通知 「東京都区市町村別の面積について」による令和6年10月１日時点の数値である。なお、区部には、荒川河口部（1.12k㎡）、中央防波堤外側埋立地(1.20k㎡）、新海面処分場(2.36k㎡）を含み、 八丈支庁には、鳥島（4.79k㎡）、ベヨネース列岩（0.00k㎡）、須美寿島（0.02k㎡）、孀婦岩（0.00k㎡）を含む。,,,,,,,,,,,,,,,,,,
注２）この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,,,
